Campus,2000,2001,2002,2003,2004,2005,2006,2007,2008
Bakersfield,0.417,0.397,0.445,0.384,0.43,0.414,0.386,0.395,0.412
Channel Islands,0,0,0,0.525,0.584,0.539,0.511,0.516,0.615
Chico,0.537,0.524,0.557,0.58,0.618,0.59,0.572,0.561,0.593
Dominguez Hills,0.329,0.282,0.34,0.349,0.309,0.244,0.276,0.294,0.323
East Bay,0.432,0.399,0.444,0.476,0.451,0.433,0.41,0.381,0.381
Fresno,0.455,0.481,0.48,0.478,0.506,0.494,0.481,0.486,0.524
Fullerton,0.491,0.499,0.49,0.516,0.514,0.501,0.512,0.535,0.557
Humboldt,0.442,0.414,0.422,0.415,0.366,0.397,0.405,0.401,0.438
Long Beach,0.478,0.468,0.554,0.544,0.54,0.54,0.569,0.603,0.652
Los Angeles,0.348,0.313,0.306,0.337,0.374,0.365,0.365,0.357,0.411
Maritime Academy,0.531,0.627,0.62,0.687,0.611,0.623,0.579,0.587,0.542
Monterey Bay,0.356,0.363,0.387,0.415,0.409,0.378,0.368,0.383,0.453
Northridge,0.4,0.405,0.411,0.437,0.479,0.461,0.48,0.458,0.468
Pomona,0.483,0.489,0.504,0.529,0.566,0.503,0.508,0.524,0.564
Sacramento,0.421,0.424,0.416,0.439,0.42,0.416,0.414,0.429,0.437
San Bernardino,0.443,0.383,0.437,0.455,0.44,0.446,0.435,0.411,0.48
San Diego,0.583,0.564,0.613,0.663,0.662,0.656,0.66,0.662,0.66
San Francisco,0.424,0.442,0.437,0.475,0.48,0.465,0.473,0.455,0.497
San Jose,0.414,0.42,0.414,0.464,0.48,0.464,0.469,0.481,0.516
San Luis Obispo,0.67,0.661,0.694,0.717,0.729,0.746,0.722,0.697,0.75
San Marcos,0.381,0.437,0.451,0.473,0.442,0.485,0.446,0.479,0.485
Sonoma,0.508,0.556,0.496,0.529,0.569,0.567,0.549,0.539,0.555
Stanislaus,0.501,0.516,0.527,0.495,0.495,0.491,0.487,0.52,0.533
Systemwide,0.478,0.474,0.489,0.513,0.524,0.513,0.514,0.518,0.54
